student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,Gender,School_Type,Internet_Access,Grade_Category,Pass_Flag,Subject_Average,Attendance_Rate
9662,17,male,private,diploma,6.5,76.2,yes,>60 min,no,group study,85.3,92.5,91.3,80.8,c,Male,Private,Yes,C,Pass,89.7,76.2
8570,19,female,public,diploma,4.5,83.5,yes,>60 min,yes,notes,68.0,62.8,64.3,70.7,c,Female,Public,Yes,C,Pass,65.03333333333335,83.5
7558,18,female,public,post graduate,5.4,76.7,yes,<15 min,yes,coaching,83.1,78.9,72.9,73.0,c,Female,Public,Yes,C,Pass,78.3,76.7
1681,19,female,private,post graduate,7.8,70.5,yes,<15 min,no,coaching,83.3,93.7,99.0,86.3,b,Female,Private,Yes,B,Pass,92.0,70.5
13363,14,other,public,post graduate,2.0,91.1,yes,<15 min,yes,textbook,33.5,60.4,52.1,46.0,e,Other,Public,Yes,E,Fail,48.666666666666664,91.1
8434,18,male,private,post graduate,3.2,77.5,yes,30-60 min,yes,online videos,54.5,55.3,44.0,65.1,d,Male,Private,Yes,D,Pass,51.26666666666667,77.5
9112,18,female,public,no formal,6.8,96.8,yes,>60 min,yes,textbook,96.9,82.7,71.0,88.0,b,Female,Public,Yes,B,Pass,83.53333333333335,96.8
5683,16,female,public,post graduate,1.7,81.3,yes,15-30 min,no,notes,55.2,60.6,62.1,55.8,d,Female,Public,Yes,D,Pass,59.300000000000004,81.3
14602,16,male,private,diploma,6.6,64.3,no,<15 min,yes,mixed,63.9,63.9,62.9,70.4,c,Male,Private,No,C,Pass,63.56666666666666,64.3
8085,18,female,private,high school,4.3,67.1,yes,<15 min,no,online videos,51.0,64.7,51.7,52.6,e,Female,Private,Yes,E,Fail,55.800000000000004,67.1
5368,17,male,private,high school,5.9,75.5,yes,>60 min,yes,coaching,91.1,62.6,63.4,73.5,c,Male,Private,Yes,C,Pass,72.36666666666666,75.5
70,16,female,private,post graduate,3.2,79.1,yes,15-30 min,no,notes,80.1,57.2,47.2,57.1,d,Female,Private,Yes,D,Pass,61.5,79.1
3925,17,male,private,no formal,4.3,98.3,no,15-30 min,yes,textbook,83.0,84.1,79.8,80.2,c,Male,Private,No,C,Pass,82.3,98.3
6201,19,male,public,high school,7.9,78.1,yes,15-30 min,yes,online videos,100.0,82.0,95.1,99.1,a,Male,Public,Yes,A,Pass,92.36666666666667,78.1
13694,15,male,public,diploma,3.1,97.0,yes,15-30 min,yes,coaching,55.7,74.5,68.7,70.6,c,Male,Public,Yes,C,Pass,66.3,97.0
10279,16,male,private,phd,3.7,57.8,yes,<15 min,yes,textbook,61.9,42.5,51.6,47.8,e,Male,Private,Yes,E,Fail,52.0,57.8
2008,14,female,public,diploma,5.7,86.2,yes,>60 min,no,online videos,100.0,71.9,97.7,81.9,c,Female,Public,Yes,C,Pass,89.86666666666667,86.2
8993,19,female,public,diploma,4.1,73.6,yes,15-30 min,no,textbook,48.3,57.4,56.6,55.7,d,Female,Public,Yes,D,Pass,54.099999999999994,73.6
13330,15,male,public,no formal,2.3,74.6,no,<15 min,no,group study,56.0,49.7,56.9,46.1,e,Male,Public,No,E,Fail,54.199999999999996,74.6
8120,18,female,public,post graduate,6.2,82.2,yes,15-30 min,yes,coaching,81.6,87.3,83.7,87.4,b,Female,Public,Yes,B,Pass,84.19999999999999,82.2
2780,14,male,public,no formal,7.5,85.9,no,<15 min,no,online videos,100.0,90.4,86.4,100.0,a,Male,Public,No,A,Pass,92.26666666666667,85.9
4921,19,male,private,post graduate,1.0,73.0,yes,<15 min,no,textbook,18.6,26.2,22.1,34.9,f,Male,Private,Yes,F,Fail,22.3,73.0
756,16,other,public,no formal,1.5,52.6,yes,>60 min,no,notes,10.6,25.0,49.6,28.0,f,Other,Public,Yes,F,Fail,28.400000000000002,52.6
6496,18,other,private,phd,1.1,94.0,yes,30-60 min,no,coaching,61.1,39.2,37.3,52.0,e,Other,Private,Yes,E,Fail,45.866666666666674,94.0
10188,16,female,public,phd,1.6,61.6,yes,15-30 min,no,notes,11.4,40.9,43.8,40.6,e,Female,Public,Yes,E,Fail,32.03333333333333,61.6
5936,15,male,private,post graduate,6.0,91.6,yes,>60 min,no,online videos,67.0,69.0,77.3,75.4,c,Male,Private,Yes,C,Pass,71.10000000000001,91.6
9514,16,other,public,diploma,3.6,76.0,yes,>60 min,no,coaching,51.1,47.0,59.8,49.5,e,Other,Public,Yes,E,Fail,52.633333333333326,76.0
2331,14,female,public,graduate,1.9,76.4,yes,30-60 min,yes,notes,54.0,46.0,68.4,49.1,e,Female,Public,Yes,E,Fail,56.13333333333333,76.4
5706,18,female,public,post graduate,0.7,70.9,no,>60 min,yes,group study,31.7,24.0,35.4,26.5,f,Female,Public,No,F,Fail,30.366666666666664,70.9
8302,15,female,public,diploma,2.6,81.5,yes,>60 min,no,online videos,45.4,56.0,26.1,45.4,e,Female,Public,Yes,E,Fail,42.5,81.5
1017,16,female,public,graduate,1.7,71.6,yes,15-30 min,no,coaching,35.9,43.6,32.4,33.4,f,Female,Public,Yes,F,Fail,37.300000000000004,71.6
7348,16,other,private,post graduate,6.3,86.8,no,15-30 min,no,online videos,74.4,96.0,81.9,81.4,c,Other,Private,No,C,Pass,84.10000000000001,86.8
14250,15,other,public,diploma,3.1,99.8,yes,15-30 min,yes,coaching,65.8,53.3,58.1,59.4,d,Other,Public,Yes,D,Pass,59.06666666666666,99.8
14880,19,male,public,high school,7.8,71.6,no,30-60 min,no,online videos,82.7,78.8,83.2,88.2,b,Male,Public,No,B,Pass,81.56666666666666,71.6
14058,17,male,private,phd,6.4,88.6,yes,>60 min,yes,coaching,57.6,74.0,90.5,82.4,c,Male,Private,Yes,C,Pass,74.03333333333333,88.6
12058,19,female,private,high school,3.9,89.2,yes,>60 min,no,notes,77.4,54.4,62.3,57.1,d,Female,Private,Yes,D,Pass,64.7,89.2
8217,17,other,public,graduate,4.0,92.0,yes,<15 min,yes,mixed,81.3,51.9,81.5,74.0,c,Other,Public,Yes,C,Pass,71.56666666666666,92.0
4939,15,male,public,graduate,3.8,80.1,yes,>60 min,no,textbook,67.0,64.3,59.0,60.9,d,Male,Public,Yes,D,Pass,63.43333333333334,80.1
2839,15,other,private,graduate,4.2,57.9,yes,<15 min,no,coaching,63.9,70.4,75.4,54.7,e,Other,Private,Yes,E,Fail,69.9,57.9
738,16,female,public,post graduate,5.5,61.4,no,15-30 min,yes,mixed,78.7,69.5,83.0,75.0,c,Female,Public,No,C,Pass,77.06666666666666,61.4
6201,19,male,public,high school,7.9,78.1,yes,15-30 min,yes,online videos,100.0,82.0,95.1,99.1,a,Male,Public,Yes,A,Pass,92.36666666666667,78.1
8372,18,other,private,diploma,6.1,84.5,yes,15-30 min,no,group study,77.6,57.8,75.9,75.8,c,Other,Private,Yes,C,Pass,70.43333333333332,84.5
232,19,other,private,post graduate,4.7,98.0,yes,<15 min,no,group study,83.9,63.3,86.5,70.5,c,Other,Private,Yes,C,Pass,77.89999999999999,98.0
1918,16,female,public,no formal,7.7,69.0,yes,>60 min,no,notes,81.5,86.2,81.9,83.6,c,Female,Public,Yes,C,Pass,83.2,69.0
8535,16,male,private,post graduate,7.2,86.9,yes,30-60 min,no,online videos,83.1,80.7,100.0,89.7,b,Male,Private,Yes,B,Pass,87.93333333333334,86.9
12765,16,female,private,phd,7.4,95.7,yes,15-30 min,yes,mixed,100.0,100.0,99.4,97.4,a,Female,Private,Yes,A,Pass,99.8,95.7
5919,18,other,public,no formal,0.6,88.8,yes,30-60 min,no,mixed,18.1,49.4,35.1,41.3,e,Other,Public,Yes,E,Fail,34.199999999999996,88.8
2624,19,other,private,post graduate,1.9,88.8,yes,15-30 min,yes,online videos,27.6,54.1,36.3,46.8,e,Other,Private,Yes,E,Fail,39.333333333333336,88.8
8647,18,female,public,no formal,6.7,70.1,yes,<15 min,yes,notes,63.8,85.5,62.0,76.2,c,Female,Public,Yes,C,Pass,70.43333333333334,70.1
13544,17,other,public,phd,1.2,63.7,yes,>60 min,yes,textbook,23.9,34.9,27.7,26.2,f,Other,Public,Yes,F,Fail,28.833333333333332,63.7
12577,15,male,public,post graduate,3.8,76.1,yes,>60 min,yes,online videos,60.5,59.9,59.3,59.0,d,Male,Public,Yes,D,Pass,59.9,76.1
13525,17,female,public,diploma,6.2,92.5,yes,15-30 min,yes,coaching,78.0,95.1,89.3,85.0,b,Female,Public,Yes,B,Pass,87.46666666666665,92.5
6402,18,other,private,post graduate,6.2,63.7,yes,15-30 min,yes,group study,58.7,72.6,59.3,75.1,c,Other,Private,Yes,C,Pass,63.53333333333334,63.7
12818,17,female,public,high school,1.2,61.6,yes,>60 min,no,online videos,44.0,27.5,38.6,38.8,f,Female,Public,Yes,F,Fail,36.699999999999996,61.6
7073,17,female,public,phd,3.0,79.5,yes,15-30 min,no,textbook,65.3,50.1,42.9,62.2,d,Female,Public,Yes,D,Pass,52.76666666666667,79.5
2277,15,male,public,phd,4.1,50.9,no,<15 min,yes,notes,44.5,54.0,39.9,47.0,e,Male,Public,No,E,Fail,46.13333333333333,50.9
7394,15,male,public,phd,5.6,86.7,yes,15-30 min,yes,mixed,84.7,75.4,89.7,88.8,b,Male,Public,Yes,B,Pass,83.26666666666667,86.7
8788,17,other,public,post graduate,3.5,55.7,yes,>60 min,no,group study,46.5,50.5,48.4,51.6,e,Other,Public,Yes,E,Fail,48.46666666666667,55.7
3875,17,female,public,high school,3.1,96.4,no,<15 min,no,online videos,72.1,84.1,73.5,71.8,c,Female,Public,No,C,Pass,76.56666666666666,96.4
4531,14,male,private,diploma,4.9,79.3,yes,>60 min,yes,mixed,75.5,71.5,78.0,70.1,c,Male,Private,Yes,C,Pass,75.0,79.3
13170,16,other,public,no formal,4.2,50.4,no,<15 min,yes,textbook,53.3,44.4,40.2,49.0,e,Other,Public,No,E,Fail,45.96666666666666,50.4
7165,17,other,public,high school,0.8,59.6,yes,30-60 min,no,online videos,27.1,17.7,36.9,24.0,f,Other,Public,Yes,F,Fail,27.23333333333333,59.6
14070,14,other,public,phd,5.9,53.3,yes,<15 min,yes,notes,61.9,50.4,59.4,64.5,d,Other,Public,Yes,D,Pass,57.23333333333333,53.3
4498,16,other,public,graduate,0.7,97.7,yes,15-30 min,no,group study,51.0,36.8,42.2,40.5,e,Other,Public,Yes,E,Fail,43.333333333333336,97.7
10862,16,female,public,graduate,4.4,64.1,yes,>60 min,yes,notes,56.8,43.7,47.4,51.6,e,Female,Public,Yes,E,Fail,49.300000000000004,64.1
7934,16,female,private,post graduate,1.1,65.6,yes,>60 min,no,online videos,42.0,48.0,22.2,36.1,f,Female,Private,Yes,F,Fail,37.4,65.6
2136,18,female,private,diploma,5.5,97.2,yes,15-30 min,yes,mixed,94.1,85.0,82.6,76.3,c,Female,Private,Yes,C,Pass,87.23333333333333,97.2
6728,17,male,private,diploma,7.0,55.5,yes,30-60 min,yes,mixed,84.1,87.0,88.2,81.3,c,Male,Private,Yes,C,Pass,86.43333333333334,55.5
12157,19,other,public,no formal,1.2,97.4,no,>60 min,yes,online videos,39.0,62.6,49.8,42.2,e,Other,Public,No,E,Fail,50.46666666666666,97.4
1566,16,female,public,graduate,7.8,70.9,no,15-30 min,no,notes,85.8,79.9,100.0,91.7,b,Female,Public,No,B,Pass,88.56666666666666,70.9
309,15,female,private,graduate,1.5,68.6,yes,>60 min,yes,mixed,28.2,21.1,36.6,39.1,f,Female,Private,Yes,F,Fail,28.633333333333336,68.6
8535,16,male,private,post graduate,7.2,86.9,yes,30-60 min,no,online videos,83.1,80.7,100.0,89.7,b,Male,Private,Yes,B,Pass,87.93333333333334,86.9
8628,18,other,private,no formal,7.3,90.4,yes,15-30 min,yes,notes,100.0,86.6,100.0,96.2,a,Other,Private,Yes,A,Pass,95.53333333333335,90.4
8369,16,male,public,graduate,1.7,74.7,yes,15-30 min,no,online videos,56.0,45.3,23.1,35.1,f,Male,Public,Yes,F,Fail,41.46666666666667,74.7
139,16,female,private,no formal,4.1,82.3,yes,>60 min,no,textbook,59.7,71.3,67.0,67.6,d,Female,Private,Yes,D,Pass,66.0,82.3
194,16,male,private,no formal,6.8,52.4,yes,<15 min,no,mixed,90.4,88.5,91.3,84.1,c,Male,Private,Yes,C,Pass,90.06666666666666,52.4
3258,15,male,public,high school,0.9,83.7,yes,>60 min,yes,notes,40.9,52.6,58.5,46.6,e,Male,Public,Yes,E,Fail,50.666666666666664,83.7
3236,17,female,private,post graduate,5.1,80.0,yes,>60 min,yes,notes,75.4,54.5,64.9,69.4,d,Female,Private,Yes,D,Pass,64.93333333333334,80.0
13473,14,female,private,diploma,2.0,82.0,yes,>60 min,no,textbook,48.5,45.6,44.4,41.1,e,Female,Private,Yes,E,Fail,46.166666666666664,82.0
943,19,male,private,high school,3.1,98.7,yes,15-30 min,yes,textbook,60.3,57.1,45.9,54.7,e,Male,Private,Yes,E,Fail,54.43333333333334,98.7
4621,17,other,public,phd,4.6,51.0,yes,30-60 min,yes,notes,43.5,48.0,70.6,50.2,e,Other,Public,Yes,E,Fail,54.03333333333333,51.0
12072,19,female,public,diploma,3.0,73.6,yes,15-30 min,yes,notes,55.4,55.1,69.5,62.7,d,Female,Public,Yes,D,Pass,60.0,73.6
5721,19,female,public,high school,0.8,90.5,yes,<15 min,yes,textbook,28.3,49.5,21.6,38.9,f,Female,Public,Yes,F,Fail,33.13333333333333,90.5
11306,17,female,private,phd,2.9,76.6,no,>60 min,yes,textbook,64.4,54.0,55.6,52.7,e,Female,Private,No,E,Fail,58.0,76.6
11155,17,other,public,high school,1.9,53.3,yes,>60 min,yes,online videos,42.3,35.6,55.6,43.5,e,Other,Public,Yes,E,Fail,44.5,53.3
6354,19,female,public,phd,5.7,66.3,yes,30-60 min,yes,textbook,60.9,63.3,54.3,63.3,d,Female,Public,Yes,D,Pass,59.5,66.3
13029,15,other,private,post graduate,0.8,78.3,no,30-60 min,no,group study,56.4,25.0,41.5,38.9,f,Other,Private,No,F,Fail,40.96666666666667,78.3
4958,16,male,private,graduate,1.9,96.8,yes,15-30 min,yes,textbook,62.4,45.7,35.8,49.6,e,Male,Private,Yes,E,Fail,47.96666666666666,96.8
9146,14,female,private,post graduate,2.9,70.4,yes,>60 min,no,coaching,36.1,47.7,51.4,52.7,e,Female,Private,Yes,E,Fail,45.06666666666667,70.4
9495,17,female,public,high school,6.3,67.1,no,>60 min,yes,mixed,88.4,85.6,100.0,82.8,c,Female,Public,No,C,Pass,91.33333333333333,67.1
13563,14,male,public,high school,4.6,90.1,yes,30-60 min,yes,group study,75.2,71.9,60.8,75.1,c,Male,Public,Yes,C,Pass,69.30000000000001,90.1
3382,18,female,public,post graduate,6.2,95.2,yes,30-60 min,no,coaching,81.7,82.1,84.1,83.2,c,Female,Public,Yes,C,Pass,82.63333333333334,95.2
5840,18,other,public,graduate,0.6,79.1,yes,<15 min,yes,group study,52.5,31.6,52.1,39.9,f,Other,Public,Yes,F,Fail,45.4,79.1
2881,14,female,private,high school,3.8,91.3,yes,30-60 min,no,notes,59.5,47.8,60.7,58.8,d,Female,Private,Yes,D,Pass,56.0,91.3
10380,17,female,public,diploma,0.6,85.4,yes,>60 min,yes,mixed,47.0,22.8,38.0,35.0,f,Female,Public,Yes,F,Fail,35.93333333333333,85.4
4888,17,female,private,no formal,7.2,77.5,yes,<15 min,no,mixed,95.1,92.8,100.0,93.6,b,Female,Private,Yes,B,Pass,95.96666666666665,77.5
546,14,male,public,high school,5.2,93.6,yes,30-60 min,no,textbook,92.5,79.9,97.3,88.2,b,Male,Public,Yes,B,Pass,89.89999999999999,93.6
14133,19,male,public,phd,4.1,94.7,yes,15-30 min,yes,textbook,71.0,45.7,58.3,60.9,d,Male,Public,Yes,D,Pass,58.333333333333336,94.7
13305,17,male,private,high school,5.5,59.5,yes,15-30 min,no,textbook,49.0,64.9,50.5,62.8,d,Male,Private,Yes,D,Pass,54.800000000000004,59.5
1928,14,other,private,post graduate,4.6,66.1,yes,>60 min,no,mixed,63.8,59.6,54.3,60.3,d,Other,Private,Yes,D,Pass,59.23333333333333,66.1
13842,18,other,public,high school,3.8,58.3,yes,<15 min,no,notes,43.0,48.3,50.4,47.8,e,Other,Public,Yes,E,Fail,47.23333333333333,58.3
4153,19,female,private,high school,7.7,78.5,yes,>60 min,yes,textbook,77.9,69.5,57.4,84.9,c,Female,Private,Yes,C,Pass,68.26666666666667,78.5
14448,14,female,public,diploma,0.5,94.1,yes,>60 min,no,coaching,48.9,41.1,32.7,41.8,e,Female,Public,Yes,E,Fail,40.9,94.1
5,16,female,public,high school,1.3,61.0,yes,30-60 min,yes,group study,8.9,32.7,30.0,25.4,f,Female,Public,Yes,F,Fail,23.866666666666664,61.0
11674,19,male,private,diploma,6.3,63.0,yes,15-30 min,yes,group study,70.2,66.2,83.3,69.9,d,Male,Private,Yes,D,Pass,73.23333333333333,63.0
5534,16,female,public,phd,4.6,53.0,yes,30-60 min,yes,coaching,44.9,41.5,48.7,55.5,d,Female,Public,Yes,D,Pass,45.03333333333334,53.0
11446,14,female,public,post graduate,5.0,95.5,yes,<15 min,no,online videos,93.1,88.7,89.6,81.7,c,Female,Public,Yes,C,Pass,90.46666666666665,95.5
9555,16,other,public,diploma,5.6,55.6,yes,<15 min,yes,notes,57.8,63.0,53.9,61.2,d,Other,Public,Yes,D,Pass,58.23333333333333,55.6
10013,17,female,public,graduate,6.8,50.4,yes,30-60 min,no,online videos,56.6,84.3,55.1,65.7,d,Female,Public,Yes,D,Pass,65.33333333333333,50.4
5379,16,female,private,no formal,1.4,88.9,yes,15-30 min,no,mixed,55.9,30.7,66.4,52.0,e,Female,Private,Yes,E,Fail,51.0,88.9
6234,14,male,public,high school,4.7,57.9,yes,>60 min,yes,coaching,53.8,69.8,67.9,57.1,d,Male,Public,Yes,D,Pass,63.833333333333336,57.9
2664,16,female,private,diploma,3.9,97.8,yes,>60 min,yes,online videos,57.5,61.6,65.8,64.0,d,Female,Private,Yes,D,Pass,61.633333333333326,97.8
11131,18,male,private,post graduate,3.6,93.6,yes,30-60 min,yes,mixed,71.1,77.0,62.2,63.1,d,Male,Private,Yes,D,Pass,70.10000000000001,93.6
9466,16,male,public,phd,7.9,75.0,no,>60 min,yes,online videos,100.0,92.7,90.7,95.7,a,Male,Public,No,A,Pass,94.46666666666665,75.0
3327,14,other,private,high school,2.4,99.5,yes,30-60 min,yes,online videos,56.6,46.6,60.1,49.5,e,Other,Private,Yes,E,Fail,54.43333333333334,99.5
3660,16,female,private,graduate,3.7,83.8,no,15-30 min,yes,online videos,35.0,40.2,42.3,56.1,d,Female,Private,No,D,Pass,39.166666666666664,83.8
11138,15,male,private,graduate,4.7,92.0,yes,<15 min,no,notes,77.9,84.2,87.0,72.8,c,Male,Private,Yes,C,Pass,83.03333333333335,92.0
11211,16,female,public,phd,3.1,78.3,yes,15-30 min,yes,group study,41.7,68.1,48.8,47.4,e,Female,Public,Yes,E,Fail,52.86666666666667,78.3
1132,18,male,private,graduate,0.9,66.3,yes,15-30 min,yes,mixed,35.0,38.9,20.3,43.5,e,Male,Private,Yes,E,Fail,31.400000000000002,66.3
4764,15,male,public,phd,4.4,52.0,yes,<15 min,yes,group study,81.7,49.4,31.2,53.9,e,Male,Public,Yes,E,Fail,54.099999999999994,52.0
6738,14,other,public,diploma,2.2,73.1,no,>60 min,no,group study,45.9,44.0,55.4,48.6,e,Other,Public,No,E,Fail,48.43333333333334,73.1
10829,18,other,private,phd,4.6,76.2,yes,<15 min,yes,online videos,56.6,62.5,66.1,62.0,d,Other,Private,Yes,D,Pass,61.73333333333333,76.2
14821,18,other,public,high school,3.3,63.7,yes,30-60 min,no,coaching,39.6,35.3,34.2,44.9,e,Other,Public,Yes,E,Fail,36.36666666666667,63.7
11222,14,female,private,high school,4.6,97.9,yes,15-30 min,no,textbook,63.0,54.9,67.5,69.3,d,Female,Private,Yes,D,Pass,61.800000000000004,97.9
11212,17,other,private,no formal,3.4,56.9,yes,30-60 min,no,notes,61.5,58.4,50.8,57.6,d,Other,Private,Yes,D,Pass,56.9,56.9
13570,17,female,private,graduate,1.7,62.5,yes,>60 min,yes,group study,45.9,54.6,59.8,47.7,e,Female,Private,Yes,E,Fail,53.43333333333334,62.5
14975,19,male,private,no formal,4.1,50.5,yes,<15 min,yes,coaching,48.2,42.1,48.1,50.3,e,Male,Private,Yes,E,Fail,46.13333333333333,50.5
5093,14,other,private,post graduate,3.3,96.7,yes,>60 min,yes,textbook,75.4,88.1,63.5,74.7,c,Other,Private,Yes,C,Pass,75.66666666666667,96.7
6023,15,female,public,graduate,4.1,51.3,yes,<15 min,yes,coaching,56.1,37.0,48.3,52.0,e,Female,Public,Yes,E,Fail,47.133333333333326,51.3
12570,19,other,private,high school,4.3,74.4,yes,>60 min,yes,mixed,65.0,57.4,62.4,70.1,c,Other,Private,Yes,C,Pass,61.6,74.4
3160,19,female,public,graduate,1.3,59.9,yes,30-60 min,no,group study,48.3,32.8,37.0,39.0,f,Female,Public,Yes,F,Fail,39.36666666666667,59.9
13516,19,female,public,post graduate,1.7,66.4,no,30-60 min,no,notes,39.7,20.6,31.8,37.0,f,Female,Public,No,F,Fail,30.700000000000003,66.4
6160,15,male,private,phd,2.4,92.4,yes,<15 min,no,textbook,63.9,59.7,58.6,51.5,e,Male,Private,Yes,E,Fail,60.73333333333333,92.4
7319,17,male,public,phd,4.9,74.2,yes,15-30 min,yes,mixed,75.7,63.8,68.3,67.6,d,Male,Public,Yes,D,Pass,69.26666666666667,74.2
13224,15,female,public,diploma,3.8,89.6,yes,>60 min,yes,mixed,69.8,65.7,61.8,59.9,d,Female,Public,Yes,D,Pass,65.76666666666667,89.6
8446,16,female,public,diploma,3.7,83.8,yes,30-60 min,yes,notes,81.5,60.9,47.1,62.3,d,Female,Public,Yes,D,Pass,63.166666666666664,83.8
5308,18,female,private,high school,2.4,58.0,yes,<15 min,yes,textbook,51.8,51.2,34.5,45.8,e,Female,Private,Yes,E,Fail,45.833333333333336,58.0
8521,17,other,private,post graduate,5.7,99.4,yes,>60 min,yes,online videos,74.5,87.7,92.6,81.5,c,Other,Private,Yes,C,Pass,84.93333333333332,99.4
10784,16,other,private,diploma,7.4,90.3,yes,15-30 min,yes,mixed,91.1,88.3,97.0,90.0,b,Other,Private,Yes,B,Pass,92.13333333333333,90.3
11023,17,other,private,phd,2.5,57.7,yes,<15 min,no,notes,32.8,43.5,50.8,52.1,e,Other,Private,Yes,E,Fail,42.36666666666667,57.7
3045,15,female,public,graduate,1.4,71.6,yes,30-60 min,yes,coaching,33.3,63.8,42.5,42.2,e,Female,Public,Yes,E,Fail,46.53333333333333,71.6
9613,14,other,private,post graduate,5.7,87.2,yes,>60 min,no,group study,81.4,63.4,57.9,72.3,c,Other,Private,Yes,C,Pass,67.56666666666668,87.2
5637,15,female,private,graduate,1.9,58.3,yes,15-30 min,no,textbook,7.1,33.2,26.0,32.8,f,Female,Private,Yes,F,Fail,22.100000000000005,58.3
11594,17,female,private,no formal,1.9,89.8,yes,15-30 min,no,mixed,73.4,61.7,62.8,56.4,d,Female,Private,Yes,D,Pass,65.96666666666668,89.8
2893,16,other,private,high school,1.1,63.6,yes,<15 min,no,coaching,19.8,25.7,27.6,31.9,f,Other,Private,Yes,F,Fail,24.366666666666664,63.6
5289,15,other,private,diploma,1.9,61.6,yes,>60 min,no,textbook,44.1,47.1,37.6,39.8,f,Other,Private,Yes,F,Fail,42.93333333333334,61.6
5813,15,male,public,high school,4.4,59.5,no,<15 min,yes,textbook,71.0,37.5,43.5,65.9,d,Male,Public,No,D,Pass,50.666666666666664,59.5
14702,14,female,public,high school,2.7,50.0,yes,15-30 min,yes,online videos,27.6,53.8,61.1,45.8,e,Female,Public,Yes,E,Fail,47.5,50.0
13490,14,male,public,post graduate,3.3,58.6,yes,>60 min,yes,group study,80.2,52.1,65.1,59.6,d,Male,Public,Yes,D,Pass,65.8,58.6
655,17,female,private,no formal,5.4,64.7,yes,>60 min,no,group study,69.5,69.1,80.6,71.9,c,Female,Private,Yes,C,Pass,73.06666666666666,64.7
5482,14,male,public,phd,8.0,76.7,yes,<15 min,yes,group study,99.5,100.0,100.0,100.0,a,Male,Public,Yes,A,Pass,99.83333333333333,76.7
760,18,other,private,diploma,7.1,71.3,yes,15-30 min,no,notes,82.2,71.4,80.9,93.3,b,Other,Private,Yes,B,Pass,78.16666666666667,71.3
6783,16,male,public,no formal,1.9,72.9,yes,30-60 min,no,mixed,27.9,47.5,47.2,51.9,e,Male,Public,Yes,E,Fail,40.86666666666667,72.9
1799,16,other,public,graduate,5.8,95.8,yes,>60 min,no,group study,82.2,61.3,76.1,77.3,c,Other,Public,Yes,C,Pass,73.2,95.8
5160,19,other,public,graduate,7.8,58.3,yes,>60 min,no,textbook,65.9,85.8,94.3,82.5,c,Other,Public,Yes,C,Pass,82.0,58.3
11164,16,female,public,graduate,7.1,63.8,yes,<15 min,yes,notes,68.4,66.5,56.9,82.6,c,Female,Public,Yes,C,Pass,63.93333333333334,63.8
12704,19,female,private,phd,2.9,93.8,yes,>60 min,no,textbook,58.0,57.0,53.8,60.8,d,Female,Private,Yes,D,Pass,56.26666666666667,93.8
11619,16,female,private,high school,3.3,65.5,yes,<15 min,no,mixed,43.3,46.1,40.6,48.5,e,Female,Private,Yes,E,Fail,43.333333333333336,65.5
8447,16,male,public,high school,3.8,52.0,yes,<15 min,no,group study,63.3,57.6,59.3,57.3,d,Male,Public,Yes,D,Pass,60.06666666666666,52.0
5263,17,other,private,high school,1.8,50.6,yes,15-30 min,yes,online videos,34.7,42.2,42.7,41.7,e,Other,Private,Yes,E,Fail,39.86666666666667,50.6
3824,15,female,public,diploma,4.5,94.8,yes,30-60 min,yes,group study,72.5,82.0,81.3,80.5,c,Female,Public,Yes,C,Pass,78.60000000000001,94.8
1877,15,female,private,phd,7.8,51.7,yes,15-30 min,yes,online videos,79.0,77.5,65.5,75.5,c,Female,Private,Yes,C,Pass,74.0,51.7
10950,18,male,private,post graduate,7.4,75.3,yes,<15 min,no,group study,84.6,89.3,84.8,86.0,b,Male,Private,Yes,B,Pass,86.23333333333333,75.3
10817,18,male,private,high school,2.1,79.8,yes,15-30 min,no,online videos,46.6,42.9,53.0,46.2,e,Male,Private,Yes,E,Fail,47.5,79.8
13188,18,female,private,no formal,6.5,87.5,yes,15-30 min,yes,textbook,85.7,100.0,94.6,84.7,c,Female,Private,Yes,C,Pass,93.43333333333332,87.5
6155,14,female,private,graduate,4.1,72.3,no,30-60 min,yes,coaching,75.2,72.3,64.3,70.7,c,Female,Private,No,C,Pass,70.60000000000001,72.3
7788,17,female,public,graduate,5.6,79.1,yes,15-30 min,yes,coaching,79.7,92.0,82.9,70.7,c,Female,Public,Yes,C,Pass,84.86666666666666,79.1
12314,16,other,public,phd,6.7,67.1,yes,30-60 min,yes,group study,63.9,74.2,80.7,72.2,c,Other,Public,Yes,C,Pass,72.93333333333334,67.1
11197,15,female,private,no formal,1.1,78.6,yes,30-60 min,yes,textbook,39.3,49.7,43.0,36.8,f,Female,Private,Yes,F,Fail,44.0,78.6
4517,16,other,private,phd,7.7,74.3,no,<15 min,no,group study,91.4,79.4,82.6,84.8,c,Other,Private,No,C,Pass,84.46666666666667,74.3
3735,15,female,public,phd,2.6,89.0,yes,>60 min,yes,coaching,45.1,44.5,57.8,56.5,d,Female,Public,Yes,D,Pass,49.133333333333326,89.0
9437,14,male,public,diploma,1.3,96.8,yes,<15 min,no,group study,69.0,49.0,66.7,57.7,d,Male,Public,Yes,D,Pass,61.56666666666666,96.8
